Name,Value,Value Type,Times Used In Total,Usage Limit Per Code,Status,Start,End
A81BG1KDFPZ2,-1340.0,fixed_amount,1,,Expired,2021-10-05 12:21:58 +0530,2021-10-13 13:27:23 +0530
ASHISH,-1400.0,fixed_amount,0,,Expired,2022-01-10 17:26:03 +0530,2022-01-10 17:27:22 +0530
Deepti10,-15.0,percentage,1,1,Expired,2022-05-15 20:21:01 +0530,2022-05-18 23:59:00 +0530
Dhaaga15,-15.0,percentage,0,,Active,2022-05-16 13:37:15 +0530,
EDJ82ENSWPHH,-705.0,fixed_amount,0,,Expired,2021-11-09 10:37:14 +0530,2021-11-24 10:41:35 +0530
HOD10,-10.0,percentage,139,,Expired,2020-11-24 17:21:51 +0530,2021-06-17 14:06:06 +0530
HOD15,-15.0,percentage,41,,Expired,2021-01-02 16:50:37 +0530,2021-06-17 14:06:14 +0530
JR2Q7YRQ3TZJ,-2467.5,fixed_amount,1,,Expired,2021-10-12 10:54:40 +0530,2021-10-13 13:27:48 +0530
kajallko,-3520.0,fixed_amount,0,,Active,2022-02-21 22:58:29 +0530,
MHJKYB9A8RT2,-3015.0,fixed_amount,0,1,Active,2022-05-28 21:16:39 +0530,
W9QNFR8F48HA,-675.0,fixed_amount,1,,Expired,2021-10-13 12:23:30 +0530,2021-10-25 12:11:11 +0530
