Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ishya-blockprinted-kurta-set,Ishya Blockprinted Kurta  (Set of 2),"<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><span data-mce-fragment=""1""></span></strong><strong data-mce-fragment=""1"">Fabric: </strong>Mulmul</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Color: </strong>Brown</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fit:</strong><span data-mce-fragment=""1""> </span>Relaxed Fit </p>
<p data-mce-fragment=""1""><strong>Neck Type: </strong>V-neck</p>
<p data-mce-fragment=""1""><strong>Technique: </strong>Block Print</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Details</strong>: *<span data-mce-fragment=""1"">3 panel pattern *4 buttons each on both slits *3/4th Sleeves </span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Wash Care: </strong><span data-mce-fragment=""1"">Dry Clean/ Hand wash separately in cold water. Do not soak &amp; scrub. Dry in Shade.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Delivery Time:</strong> 5-8 Days</span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">SKU Code: </strong><span data-mce-fragment=""1"">HODWKS22-006</span></p>",House Of Dhaaga,,Kurta Sets,"Category_Kurta Sets, Category_Women, Collection_Rozana, kurta for Women, Neck Type_V Neck, Price_3K to 4K",true,Size,XS,,,,,HOD0772,0.0,shopify,1,deny,manual,2233.00,3190.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/3_88a16d80-10e7-4a6c-88cd-19fa540bd2d6.jpg?v=1650786705,1,,false,,,,,,,,,,,,,,,,,kg,,,active
ishya-blockprinted-kurta-set,,,,,,,,,S,,,,,HOD0773,0.0,shopify,1,deny,manual,2233.00,3190.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/1_385ce1e3-1bf9-470e-833a-586220e1556a.jpg?v=1650786705,2,,,,,,,,,,,,,,,,,,,kg,,,
ishya-blockprinted-kurta-set,,,,,,,,,M,,,,,HOD0774,0.0,shopify,3,deny,manual,2233.00,3190.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/2_55ecd1b0-f972-4f39-be0f-38e0138464d0.jpg?v=1650786705,3,,,,,,,,,,,,,,,,,,,kg,,,
ishya-blockprinted-kurta-set,,,,,,,,,L,,,,,HOD0775,0.0,shopify,3,deny,manual,2233.00,3190.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/8_c67623a2-7f45-4f54-8a0f-05bc26a8bb1d.jpg?v=1650366918,4,,,,,,,,,,,,,,,,,,,kg,,,
ishya-blockprinted-kurta-set,,,,,,,,,XL,,,,,HOD0776,0.0,shopify,3,deny,manual,2233.00,3190.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/6_fe9220c8-812f-449c-ab37-be669b9a484c.jpg?v=1650366918,5,,,,,,,,,,,,,,,,,,,kg,,,
ishya-blockprinted-kurta-set,,,,,,,,,XXL,,,,,HOD0777,0.0,shopify,3,deny,manual,2233.00,3190.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/7_fd92f2b5-6e60-4ae3-af3d-1999990a5dab.jpg?v=1650366918,6,,,,,,,,,,,,,,,,,,,kg,,,
ishya-blockprinted-kurta-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0477/4992/2972/products/9_f9e97a86-8cdb-41dd-8320-b27b74ea0488.jpg?v=1650366918,7,,,,,,,,,,,,,,,,,,,,,,
ishya-blockprinted-kurta-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0477/4992/2972/products/10_ba65ab23-202f-47d3-8d38-5122d53b5be6.jpg?v=1650366918,8,,,,,,,,,,,,,,,,,,,,,,
ishya-blockprinted-kurta-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0477/4992/2972/products/5_d69e56e7-3a72-4939-9ab2-339b5513a903.jpg?v=1650366918,9,,,,,,,,,,,,,,,,,,,,,,
ishya-blockprinted-kurta-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0477/4992/2972/products/4_f55728b4-0331-40ce-aaed-31baa403cbc2.jpg?v=1650366918,10,,,,,,,,,,,,,,,,,,,,,,
ahaana-blockprinted-kurta-set,Ahaana Blockprinted Kurta (Set of 2),"<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><span data-mce-fragment=""1""></span></strong><strong data-mce-fragment=""1"">Fabric: </strong>Mulmul</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Color: </strong>Olive</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fit:</strong><span data-mce-fragment=""1""> </span>Relaxed Fit </p>
<p data-mce-fragment=""1""><strong>Neck Type: </strong>V-neck</p>
<p data-mce-fragment=""1""><strong>Technique: </strong>Block Print</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Details</strong>: *<span data-mce-fragment=""1"">pintucks at the bust *3/4th sleeves. *border along the sleeves </span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Wash Care: </strong><span data-mce-fragment=""1"">Dry Clean/ Hand wash separately in cold water. Do not soak &amp; scrub. Dry in Shade.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Delivery Time:</strong> 5-8 Days</span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">SKU Code: </strong><span data-mce-fragment=""1"">HODWKS22-005</span></p>",House Of Dhaaga,,Kurta Sets,"Category_Kurta Sets, Category_Women, Collection_Rozana, kurta for Women, Neck Type_V Neck, Price_3K to 4K",true,Size,XS,,,,,HOD0766,0.0,shopify,1,deny,manual,2310.00,3300.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/1_ba8cf0cc-5192-410d-88ef-79003da54375.jpg?v=1650366773,1,,false,,,,,,,,,,,,,,,,,kg,,,active
ahaana-blockprinted-kurta-set,,,,,,,,,S,,,,,HOD0767,0.0,shopify,3,deny,manual,2310.00,3300.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/2_97bbae8c-ee68-4e60-8723-b12c7e5fd539.jpg?v=1650366774,2,,,,,,,,,,,,,,,,,,,kg,,,
ahaana-blockprinted-kurta-set,,,,,,,,,M,,,,,HOD0768,0.0,shopify,0,deny,manual,2310.00,3300.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/5_9e01d817-859b-4f6f-a938-b3a649731911.jpg?v=1650366900,3,,,,,,,,,,,,,,,,,,,kg,,,
ahaana-blockprinted-kurta-set,,,,,,,,,L,,,,,HOD0769,0.0,shopify,1,deny,manual,2310.00,3300.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/6_d4e993eb-6fa3-45e1-bbaf-daf12c1dda8b.jpg?v=1650366900,4,,,,,,,,,,,,,,,,,,,kg,,,
ahaana-blockprinted-kurta-set,,,,,,,,,XL,,,,,HOD0770,0.0,shopify,4,deny,manual,2310.00,3300.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/7_412b05dd-4b3f-4749-91e8-4279a0468634.jpg?v=1650366900,5,,,,,,,,,,,,,,,,,,,kg,,,
ahaana-blockprinted-kurta-set,,,,,,,,,XXL,,,,,HOD0771,0.0,shopify,4,deny,manual,2310.00,3300.00,true,false,"",https://cdn.shopify.com/s/files/1/0477/4992/2972/products/9_e781acdd-0acf-44ef-8cc9-55a67786a44d.jpg?v=1650366903,6,,,,,,,,,,,,,,,,,,,kg,,,
ahaana-blockprinted-kurta-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0477/4992/2972/products/10_ae1100bb-4767-4055-bf0a-5a64b68e80ec.jpg?v=1650366903,7,,,,,,,,,,,,,,,,,,,,,,
ahaana-blockprinted-kurta-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0477/4992/2972/products/11_73ac8047-8502-4f7a-8315-2a53727b0194.jpg?v=1650366903,8,,,,,,,,,,,,,,,,,,,,,,
ahaana-blockprinted-kurta-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0477/4992/2972/products/8_be336d24-1b6c-48dc-a748-2314cc8c4a25.jpg?v=1650366903,9,,,,,,,,,,,,,,,,,,,,,,
ahaana-blockprinted-kurta-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0477/4992/2972/products/3_cb7b5e6c-cc23-4531-b7af-6a2d0e277860.jpg?v=1650366903,10,,,,,,,,,,,,,,,,,,,,,,
ahaana-blockprinted-kurta-set,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0477/4992/2972/products/4_7dcdaa47-e242-4e09-9148-ae5b17746b57.jpg?v=1650366903,11,,,,,,,,,,,,,,,,,,,,,,
